network,property,result,runtime,output_intervals,observation
ACASXU_run2a_1_1_batch_2000.onnx,prop_1.vnnlib,SAT/UNSAFE,9.41,"Y0: [-1026737.34, 8961276.63]; Y1: [-1075435.68, 9747467.3]; Y2: [-904843.5, 10491470.03]; Y3: [-2515830.16, 7231037.07]; Y4: [-1609257.63, 7711990.85]",
ACASXU_run2a_1_1_batch_2000.onnx,prop_2.vnnlib,SAT/UNSAFE,9.46,"Y0: [-1026737.34, 8961276.63]; Y1: [-1075435.68, 9747467.3]; Y2: [-904843.5, 10491470.03]; Y3: [-2515830.16, 7231037.07]; Y4: [-1609257.63, 7711990.85]",
ACASXU_run2a_1_1_batch_2000.onnx,prop_3.vnnlib,SAT/UNSAFE,4.34,"Y0: [-686582.32, 5992918.81]; Y1: [-719398.05, 6518987.47]; Y2: [-605431.68, 7016002.31]; Y3: [-1682547.18, 4836152.67]; Y4: [-1076568.67, 5156742.73]",
ACASXU_run2a_1_1_batch_2000.onnx,prop_4.vnnlib,SAT/UNSAFE,4.09,"Y0: [-483962.5, 4224148.07]; Y1: [-507083.79, 4594911.06]; Y2: [-426732.64, 4945284.34]; Y3: [-1185928.95, 3408791.01]; Y4: [-758814.63, 3634817.78]",
ACASXU_run2a_1_1_batch_2000.onnx,prop_5.vnnlib,SAT/UNSAFE,2.67,"Y0: [-1031287.48, 9000963.17]; Y1: [-1080420.94, 9790881.77]; Y2: [-909163.25, 10537771.02]; Y3: [-2527145.66, 7263444.85]; Y4: [-1616759.29, 7745647.7]",
ACASXU_run2a_1_1_batch_2000.onnx,prop_6.vnnlib,SAT/UNSAFE,19.4,"Y0: [-1181884.36, 10315623.19]; Y1: [-1237997.33, 11220701.08]; Y2: [-1041654.51, 12076983.71]; Y3: [-2896054.3, 8323943.05]; Y4: [-1852524.21, 8877314.22]",
ACASXU_run2a_1_1_batch_2000.onnx,prop_7.vnnlib,TIMEOUT,60.08,,no data.csv intervals; 
ACASXU_run2a_1_1_batch_2000.onnx,prop_8.vnnlib,SAT/UNSAFE,19.95,"Y0: [-721215.33, 6293466.78]; Y1: [-755619.07, 6845844.49]; Y2: [-635901.71, 7368073.94]; Y3: [-1767243.35, 5079009.54]; Y4: [-1130760.92, 5415898.84]",
ACASXU_run2a_1_1_batch_2000.onnx,prop_9.vnnlib,SAT/UNSAFE,2.64,"Y0: [-966912.46, 8438733.23]; Y1: [-1012964.6, 9179306.7]; Y2: [-852402.77, 9879609.69]; Y3: [-2369386.57, 6809818.86]; Y4: [-1515824.08, 7261955.12]",
ACASXU_run2a_1_1_batch_2000.onnx,prop_10.vnnlib,SAT/UNSAFE,2.8,"Y0: [-908924.86, 7933311.16]; Y1: [-952064.61, 8629364.55]; Y2: [-801046.8, 9287915.11]; Y3: [-2227140.1, 6401463.02]; Y4: [-1424614.72, 6827104.35]",
